Data de lançamento;Período;Centro;Centro custo;Denominação de objeto;Documento de compras;Classe de custo;Denom.classe custo;Denominação;Texto breve material;Nº doc.de referência;Valor/moeda objeto;Conta lnçto.contrap.;Descrição da conta de contrapartida;Tipo de documento;Linha de lançamento;Nº documento;Denomin.da conta de contrapartida;Objeto;Data do documento;Empresa;Texto de cabeçalho de documento;Nome do usuário;Material
18/06/2024;6;7956;BR1A012;PRODUCAO MISTURA BA;M412237187;6100010;EPI/ Mat Segurança;Recebimento físico;3CAPACETE SEGURANCA SEM ABA TIPO 3 SEM;5078277267;139,62;2010000;Transitoria Recebimento Fisico/Fisc;WE;6;1191409714;Recbto Fisico/Fiscal;BR1A012;10/06/2024;BR16;;09404565;900004859
23/06/2024;6;7956;BR1A012;PRODUCAO MISTURA BA;M412237187;6100010;EPI/ Mat Segurança;Recebimento fatura;3CAPACETE SEGURANCA SEM ABA TIPO 3 SEM;5108367576;-7,76;2010000;Transitoria Recebimento Fisico/Fisc;R3;6;1193460575;Recbto Fisico/Fiscal;BR1A012;10/06/2024;BR16;BR7956AC18062415103794;09348821;900004859
18/06/2024;6;7956;BR1A011;PRODUCAO PREMIX BA;M412237187;6100010;EPI/ Mat Segurança;Recebimento físico;3CAPACETE SEGURANCA SEM ABA TIPO 3 SEM;5078277267;55,85;2010000;Transitoria Recebimento Fisico/Fisc;WE;7;1191409714;Recbto Fisico/Fiscal;BR1A011;10/06/2024;BR16;;09404565;900004859
23/06/2024;6;7956;BR1A011;PRODUCAO PREMIX BA;M412237187;6100010;EPI/ Mat Segurança;Recebimento fatura;3CAPACETE SEGURANCA SEM ABA TIPO 3 SEM;5108367576;-3,1;2010000;Transitoria Recebimento Fisico/Fisc;R3;7;1193460575;Recbto Fisico/Fiscal;BR1A011;10/06/2024;BR16;BR7956AC18062415103794;09348821;900004859
18/06/2024;6;7956;BR1A009;PRODUCAO TODDY BA;M412237187;6100010;EPI/ Mat Segurança;Recebimento físico;3CAPACETE SEGURANCA SEM ABA TIPO 3 SEM;5078277267;55,85;2010000;Transitoria Recebimento Fisico/Fisc;WE;5;1191409714;Recbto Fisico/Fiscal;BR1A009;10/06/2024;BR16;;09404565;900004859
23/06/2024;6;7956;BR1A009;PRODUCAO TODDY BA;M412237187;6100010;EPI/ Mat Segurança;Recebimento fatura;3CAPACETE SEGURANCA SEM ABA TIPO 3 SEM;5108367576;-3,1;2010000;Transitoria Recebimento Fisico/Fisc;R3;5;1193460575;Recbto Fisico/Fiscal;BR1A009;10/06/2024;BR16;BR7956AC18062415103794;09348821;900004859
18/06/2024;6;7956;BR1A015;SUPRIMENTOS BA;M412237187;6100010;EPI/ Mat Segurança;Recebimento físico;3CAPACETE SEGURANCA SEM ABA TIPO 3 SEM;5078277267;27,92;2010000;Transitoria Recebimento Fisico/Fisc;WE;8;1191409714;Recbto Fisico/Fiscal;BR1A015;10/06/2024;BR16;;09404565;900004859
23/06/2024;6;7956;BR1A015;SUPRIMENTOS BA;M412237187;6100010;EPI/ Mat Segurança;Recebimento fatura;3CAPACETE SEGURANCA SEM ABA TIPO 3 SEM;5108367576;-1,55;2010000;Transitoria Recebimento Fisico/Fisc;R3;8;1193460575;Recbto Fisico/Fiscal;BR1A015;10/06/2024;BR16;BR7956AC18062415103794;09348821;900004859
27/08/2024;8;7956;BR5A008;CONTROLADORIA;;6600022;Serviços Terceiros;7956 - M.O TERCEIRA  - HORA EXTRA - CWBEM - AGO'24;7956 - M.O TERCEIRA  - HORA EXTRA - CWBEM - AGO'24;101894735;1014,37;2031138;Outras Provisoes a Pagar;SA;4;1222621932;Outras Provisoes;BR5A008;27/08/2024;BR16;PROVISÃO;WF-BATCH;
16/09/2024;9;7956;BR5A008;CONTROLADORIA;;6600022;Serviços Terceiros;7956 - M.O TERCEIRA  - HORA EXTRA - CWBEM - AGO'24;7956 - M.O TERCEIRA  - HORA EXTRA - CWBEM - AGO'24;102056455;-1014,37;2031138;Outras Provisoes a Pagar;AB;4;1233140393;Outras Provisoes;BR5A008;27/08/2024;BR16;PROVISÃO;09360035;
27/08/2024;8;7956;BR5A008;CONTROLADORIA;;6600022;Serviços Terceiros;7956 - M.O TERCEIRA  - MENSAL - CWBEM - AGO'24;7956 - M.O TERCEIRA  - MENSAL - CWBEM - AGO'24;101894735;22957,47;2031138;Outras Provisoes a Pagar;SA;3;1222621932;Outras Provisoes;BR5A008;27/08/2024;BR16;PROVISÃO;WF-BATCH;
